"Words" "Frequency"
"1" "int" "464"
"2" "will" "221"
"3" "code" "161"
"4" "item" "142"
"5" "blank" "142"
"6" "line" "127"
"7" "node" "124"
"8" "float" "114"
"9" "number" "112"
"10" "matrix" "110"
"11" "one" "106"
"12" "endlstlisting" "101"
"13" "endverbatim" "88"
"14" "array" "87"
"15" "fill" "85"
"16" "function" "83"
"17" "include" "80"
"18" "return" "77"
"19" "beginlstlisting" "76"
"20" "omp" "73"
"21" "void" "72"
"22" "first" "71"
"23" "pragma" "69"
"24" "thread" "65"
"25" "copy" "64"
"26" "work" "63"
"27" "sheet" "61"
"28" "beginverbatimfontsizerelsize" "61"
"29" "parallel" "60"
"30" "mpi" "58"
"31" "write" "58"
"32" "tmp" "57"
"33" "name" "56"
"34" "example" "56"
"35" "data" "55"
"36" "blanks" "54"
"37" "answers" "52"
"38" "suppose" "52"
"39" "else" "52"
"40" "setlengthoddsidemarginin" "49"
"41" "setlengthevensidemarginin" "49"
"42" "setlengthtopmarginin" "49"
"43" "setlengthheadheightin" "49"
"44" "setlengthheadsepin" "49"
"45" "setlengthtextwidthin" "49"
"46" "setlengthtextheightin" "49"
"47" "setlengthparindentin" "49"
"48" "setlengthparskipin" "49"
"49" "begindocument" "49"
"50" "enddocument" "49"
"51" "consider" "49"
"52" "nodes" "49"
"53" "setlengthcolumnseprulept" "48"
"54" "program" "48"
"55" "use" "47"
"56" "solutions" "47"
"57" "threads" "46"
"58" "usepackagefancyvrb" "45"
"59" "usepackagerelsize" "45"
"60" "usepackagehyperref" "44"
"61" "beginitemize" "44"
"62" "enditemize" "44"
"63" "directions" "43"
"64" "note" "42"
"65" "row" "42"
"66" "make" "41"
"67" "openmp" "41"
"68" "documentclasstwocolumnarticle" "40"
"69" "sum" "40"
"70" "must" "40"
"71" "count" "40"
"72" "call" "39"
"73" "problem" "39"
"74" "vector" "39"
"75" "large" "38"
"76" "needed" "38"
"77" "nth" "38"
"78" "value" "37"
"79" "chunk" "35"
"80" "argv" "35"
"81" "long" "34"
"82" "sending" "33"
"83" "using" "33"
"84" "rows" "32"
"85" "sure" "31"
"86" "electronic" "31"
"87" "left" "31"
"88" "right" "31"
"89" "atoiargv" "31"
"90" "sides" "30"
"91" "lines" "30"
"92" "numbers" "30"
"93" "root" "30"
"94" "usepackagelistings" "29"
"95" "separate" "29"
"96" "last" "29"
"97" "say" "29"
"98" "paper" "29"
"99" "turn" "29"
"100" "two" "28"
"101" "chunks" "28"
"102" "actually" "28"
"103" "set" "28"
"104" "following" "28"
"105" "define" "28"
"106" "later" "27"
"107" "time" "27"
"108" "size" "27"
"109" "starting" "27"
"110" "lstsetxleftmarginmmframexleftmarginmmbasicstylefootnotesize" "26"
"111" "values" "26"
"112" "assume" "26"
"113" "answer" "26"
"114" "file" "26"
"115" "column" "26"
"116" "length" "26"
"117" "iter" "26"
"118" "documentclassarticle" "25"
"119" "setlengthcolumnseppt" "25"
"120" "give" "25"
"121" "workers" "25"
"122" "onecolumn" "25"
"123" "change" "25"
"124" "sort" "25"
"125" "nnodes" "25"
"126" "test" "25"
"127" "argc" "25"
"128" "char" "25"
"129" "writing" "25"
"130" "mainint" "25"
"131" "full" "24"
"132" "form" "24"
"133" "assumed" "24"
"134" "new" "24"
"135" "find" "24"
"136" "prime" "24"
"137" "section" "23"
"138" "single" "23"
"139" "used" "23"
"140" "get" "23"
"141" "device" "23"
"142" "version" "23"
"143" "hline" "23"
"144" "just" "22"
"145" "state" "22"
"146" "original" "22"
"147" "global" "22"
"148" "add" "22"
"149" "plenty" "22"
"150" "room" "22"
"151" "sheets" "22"
"152" "supplementary" "22"
"153" "organize" "22"
"154" "lenchunk" "22"
"155" "snow" "21"
"156" "elements" "21"
"157" "textbf" "21"
"158" "beginlstlistingnumbersleft" "21"
"159" "bin" "21"
"160" "start" "20"
"161" "main" "20"
"162" "sec" "20"
"163" "part" "20"
"164" "dim" "20"
"165" "output" "20"
"166" "stdioh" "20"
"167" "show" "20"
"168" "width" "20"
"169" "status" "20"
"170" "boundaries" "20"
"171" "niters" "20"
"172" "usepackageamsmath" "19"
"173" "newpage" "19"
"174" "times" "19"
"175" "order" "19"
"176" "run" "19"
"177" "cuda" "19"
"178" "iteration" "19"
"179" "operation" "19"
"180" "may" "19"
"181" "barrier" "19"
"182" "cluster" "19"
"183" "chunksize" "19"
"184" "printfd" "19"
"185" "break" "18"
"186" "beginverbatim" "18"
"187" "point" "18"
"188" "primes" "18"
"189" "interval" "18"
"190" "printfn" "18"
"191" "hab" "18"
"192" "end" "17"
"193" "instance" "17"
"194" "put" "17"
"195" "element" "17"
"196" "done" "17"
"197" "read" "17"
"198" "tks" "17"
"199" "current" "17"
"200" "block" "17"
"201" "placed" "17"
"202" "tot" "17"
"203" "sums" "17"
"204" "mpistatus" "16"
"205" "algorithm" "16"
"206" "within" "16"
"207" "worker" "16"
"208" "ompgetthreadnum" "16"
"209" "second" "16"
"210" "subinterval" "16"
"211" "result" "15"
"212" "list" "15"
"213" "loop" "15"
"214" "similar" "15"
"215" "thrust" "15"
"216" "input" "15"
"217" "found" "15"
"218" "case" "15"
"219" "ompgetnumthreads" "15"
"220" "usepackagetfontenc" "15"
"221" "setlengthparskipmedskipamount" "15"
"222" "setlengthparindentpt" "15"
"223" "makeatletter" "15"
"224" "makeatother" "15"
"225" "can" "15"
"226" "endarray" "15"
"227" "wish" "14"
"228" "true" "14"
"229" "course" "14"
"230" "terms" "14"
"231" "false" "14"
"232" "variable" "14"
"233" "also" "14"
"234" "omph" "14"
"235" "manager" "14"
"236" "shown" "14"
"237" "place" "14"
"238" "finds" "14"
"239" "receive" "13"
"240" "send" "13"
"241" "latter" "13"
"242" "variables" "13"
"243" "total" "13"
"244" "need" "13"
"245" "points" "13"
"246" "computation" "13"
"247" "base" "13"
"248" "beginequation" "13"
"249" "endequation" "13"
"250" "divisor" "13"
"251" "cumulative" "13"
"252" "statement" "12"
"253" "columns" "12"
"254" "stdlibh" "12"
"255" "image" "12"
"256" "sorted" "12"
"257" "finding" "12"
"258" "efficient" "12"
"259" "transform" "12"
"260" "back" "12"
"261" "etc" "11"
"262" "message" "11"
"263" "type" "11"
"264" "print" "11"
"265" "index" "11"
"266" "since" "11"
"267" "check" "11"
"268" "adjacency" "11"
"269" "many" "11"
"270" "pairs" "11"
"271" "commands" "11"
"272" "given" "11"
"273" "argument" "11"
"274" "smaller" "11"
"275" "approach" "11"
"276" "rand" "11"
"277" "debug" "11"
"278" "nothing" "11"
"279" "important" "10"
"280" "problems" "10"
"281" "increase" "10"
"282" "concerns" "10"
"283" "pthreads" "10"
"284" "scheduling" "10"
"285" "known" "10"
"286" "iterations" "10"
"287" "changed" "10"
"288" "counts" "10"
"289" "dont" "10"
"290" "submit" "10"
"291" "replace" "10"
"292" "lyx" "10"
"293" "unless" "10"
"294" "specific" "10"
"295" "running" "10"
"296" "instead" "10"
"297" "like" "10"
"298" "pln" "10"
"299" "generate" "10"
"300" "random" "10"
"301" "python" "10"
"302" "arrays" "10"
"303" "thrusthostvectorint" "10"
"304" "nbdries" "10"
"305" "argcchar" "10"
"306" "ncls" "10"
"307" "nwrkrs" "10"
"308" "devab" "10"
"309" "nsubintervals" "10"
"310" "called" "9"
"311" "works" "9"
"312" "handle" "9"
"313" "without" "9"
"314" "evenly" "9"
"315" "possible" "9"
"316" "memory" "9"
"317" "arguments" "9"
"318" "shared" "9"
"319" "another" "9"
"320" "tid" "9"
"321" "credit" "9"
"322" "nextbase" "9"
"323" "see" "9"
"324" "processor" "9"
"325" "processes" "9"
"326" "beginverbatimfontsizerelsizenumbersleft" "9"
"327" "daaux" "9"
"328" "better" "9"
"329" "grid" "9"
"330" "runs" "9"
"331" "beginarrayrr" "9"
"332" "tmpi" "9"
"333" "curra" "9"
"334" "outrownum" "9"
"335" "allowed" "8"
"336" "consisting" "8"
"337" "load" "8"
"338" "written" "8"
"339" "printed" "8"
"340" "likely" "8"
"341" "blankc" "8"
"342" "pipelined" "8"
"343" "performance" "8"
"344" "task" "8"
"345" "complete" "8"
"346" "determine" "8"
"347" "dynamic" "8"
"348" "try" "8"
"349" "specified" "8"
"350" "whether" "8"
"351" "blocks" "8"
"352" "wont" "8"
"353" "divisible" "8"
"354" "look" "8"
"355" "sample" "8"
"356" "execution" "8"
"357" "even" "8"
"358" "transpose" "8"
"359" "contents" "8"
"360" "usrbinenv" "8"
"361" "square" "8"
"362" "results" "8"
"363" "next" "8"
"364" "three" "8"
"365" "struct" "8"
"366" "latex" "8"
"367" "dowork" "8"
"368" "error" "8"
"369" "mean" "8"
"370" "stage" "8"
"371" "might" "8"
"372" "implements" "8"
"373" "take" "8"
"374" "rank" "8"
"375" "eps" "8"
"376" "mpicommrankmpicommworldme" "8"
"377" "general" "8"
"378" "sends" "8"
"379" "oldxi" "8"
"380" "tme" "8"
"381" "casdadaauxbixbixnbix" "8"
"382" "cudamallocvoid" "8"
"383" "outlinks" "8"
"384" "host" "8"
"385" "barrnumleft" "8"
"386" "mpih" "8"
"387" "initint" "8"
"388" "divvec" "8"
"389" "limit" "8"
"390" "xmat" "8"
"391" "builtin" "7"
"392" "reduce" "7"
"393" "quiz" "7"
"394" "calls" "7"
"395" "text" "7"
"396" "latency" "7"
"397" "produce" "7"
"398" "cache" "7"
"399" "larger" "7"
"400" "sharing" "7"
"401" "divides" "7"
"402" "otherwise" "7"
"403" "now" "7"
"404" "thus" "7"
"405" "atomic" "7"
"406" "computes" "7"
"407" "repeat" "7"
"408" "store" "7"
"409" "system" "7"
"410" "class" "7"
"411" "changes" "7"
"412" "different" "7"
"413" "know" "7"
"414" "instruction" "7"
"415" "final" "7"
"416" "consist" "7"
"417" "means" "7"
"418" "though" "7"
"419" "packet" "7"
"420" "via" "7"
"421" "wait" "7"
"422" "critical" "7"
"423" "iii" "7"
"424" "onedimensional" "7"
"425" "increasing" "7"
"426" "equal" "7"
"427" "functions" "7"
"428" "term" "7"
"429" "beginning" "7"
"430" "correct" "7"
"431" "storage" "7"
"432" "uses" "7"
"433" "named" "7"
"434" "mpicommworld" "7"
"435" "returns" "7"
"436" "cudah" "7"
"437" "checked" "7"
"438" "none" "7"
"439" "blocksize" "7"
"440" "comments" "7"
"441" "compute" "7"
"442" "top" "7"
"443" "mutual" "7"
"444" "parts" "7"
"445" "barrsense" "7"
"446" "claimed" "7"
"447" "managernode" "7"
"448" "workernode" "7"
"449" "blankd" "7"
"450" "csize" "7"
"451" "import" "7"
"452" "mandelbrot" "7"
"453" "axes" "7"
"454" "marks" "7"
"455" "mystartrow" "7"
"456" "choose" "6"
"457" "old" "6"
"458" "speed" "6"
"459" "book" "6"
"460" "multiple" "6"
"461" "rather" "6"
"462" "want" "6"
"463" "multiplication" "6"
"464" "stored" "6"
"465" "lengthcls" "6"
"466" "bandwidth" "6"
"467" "various" "6"
"468" "names" "6"
"469" "something" "6"
"470" "vertex" "6"
"471" "divide" "6"
"472" "keep" "6"
"473" "simple" "6"
"474" "implement" "6"
"475" "sorting" "6"
"476" "except" "6"
"477" "edges" "6"
"478" "laptop" "6"
"479" "machine" "6"
"480" "nthreads" "6"
"481" "usepackagelatininputenc" "6"
"482" "hang" "6"
"483" "decrease" "6"
"484" "roots" "6"
"485" "respectively" "6"
"486" "goes" "6"
"487" "wilkinson" "6"
"488" "allen" "6"
"489" "processors" "6"
"490" "simplicity" "6"
"491" "handling" "6"
"492" "reads" "6"
"493" "scratch" "6"
"494" "graph" "6"
"495" "apply" "6"
"496" "exactly" "6"
"497" "sign" "6"
"498" "winner" "6"
"499" "ones" "6"
"500" "step" "6"
"501" "consecutive" "6"
"502" "pseudocode" "6"
"503" "members" "6"
"504" "delete" "6"
"505" "clusterapply" "6"
"506" "stated" "6"
"507" "ith" "6"
"508" "vectors" "6"
"509" "oldx" "6"
"510" "bix" "6"
"511" "space" "6"
"512" "wave" "6"
"513" "blockidxx" "6"
"514" "prefix" "6"
"515" "syncthreads" "6"
"516" "group" "6"
"517" "threadidxx" "6"
"518" "linear" "6"
"519" "received" "6"
"520" "web" "6"
"521" "scan" "6"
"522" "arr" "6"
"523" "job" "6"
"524" "mgr" "6"
"525" "needs" "6"
"526" "simply" "6"
"527" "cls" "6"
"528" "sqrtn" "6"
"529" "bucket" "6"
"530" "max" "6"
"531" "maxn" "6"
"532" "mpiinitargcargv" "6"
"533" "npart" "6"
"534" "workernumber" "6"
"535" "grabtmpichunkcount" "6"
"536" "initargcargv" "6"
"537" "mpifinalize" "6"
"538" "padded" "6"
"539" "padmalloc" "6"
"540" "blankb" "6"
"541" "subintwidth" "6"
"542" "myleft" "6"
"543" "dxj" "6"
"544" "envirenvironment" "6"
"545" "fullmat" "6"
"546" "nrx" "6"
"547" "nrz" "6"
"548" "intwidth" "6"
"549" "myid" "6"
"550" "adj" "6"
"551" "finaloutrownum" "6"
"552" "calling" "5"
"553" "remember" "5"
"554" "certain" "5"
"555" "takes" "5"
"556" "partial" "5"
"557" "access" "5"
"558" "explain" "5"
"559" "inplace" "5"
"560" "transposition" "5"
"561" "probably" "5"
"562" "ppff" "5"
"563" "vertices" "5"
"564" "applied" "5"
"565" "tasks" "5"
"566" "way" "5"
"567" "occur" "5"
"568" "bool" "5"
"569" "become" "5"
"570" "operations" "5"
"571" "good" "5"
"572" "queue" "5"
"573" "items" "5"
"574" "either" "5"
"575" "command" "5"
"576" "nrowa" "5"
"577" "created" "5"
"578" "portion" "5"
"579" "bit" "5"
"580" "user" "5"
"581" "textbfdirections" "5"
"582" "notes" "5"
"583" "messages" "5"
"584" "jiajia" "5"
"585" "pes" "5"
"586" "fetchandadd" "5"
"587" "table" "5"
"588" "becomes" "5"
"589" "exam" "5"
"590" "manner" "5"
"591" "discussion" "5"
"592" "lock" "5"
"593" "analogous" "5"
"594" "completes" "5"
"595" "distance" "5"
"596" "strictly" "5"
"597" "intervals" "5"
"598" "initial" "5"
"599" "subintervals" "5"
"600" "idea" "5"
"601" "gap" "5"
"602" "well" "5"
"603" "network" "5"
"604" "inverse" "5"
"605" "necessary" "5"
"606" "nonzero" "5"
"607" "calculating" "5"
"608" "process" "5"
"609" "link" "5"
"610" "product" "5"
"611" "solves" "5"
"612" "swapping" "5"
"613" "iint" "5"
"614" "sizeofint" "5"
"615" "dimblock" "5"
"616" "balancing" "5"
"617" "nin" "5"
"618" "includes" "5"
"619" "setting" "5"
"620" "four" "5"
"621" "gdb" "5"
"622" "inside" "5"
"623" "added" "5"
"624" "nnew" "5"
"625" "myx" "5"
"626" "fft" "5"
"627" "equation" "5"
"628" "including" "5"
"629" "mysum" "5"
"630" "kernel" "5"
"631" "doesnt" "5"
"632" "narr" "5"
"633" "‘n’" "5"
"634" "sense" "5"
"635" "ntrue" "5"
"636" "files" "5"
"637" "handin" "5"
"638" "sequence" "5"
"639" "explained" "5"
"640" "strategy" "5"
"641" "believe" "5"
"642" "tostore" "5"
"643" "currb" "5"
"644" "bsize" "5"
"645" "csumsi" "5"
"646" "xpy" "5"
"647" "mytot" "5"
"648" "nums" "5"
"649" "tick" "5"
"650" "maxiters" "5"
"651" "cpt" "5"
"652" "utilization" "5"
"653" "integers" "4"
"654" "camel" "4"
"655" "issue" "4"
"656" "executed" "4"
"657" "variant" "4"
"658" "avoid" "4"
"659" "diagonal" "4"
"660" "compressed" "4"
"661" "prod" "4"
"662" "range" "4"
"663" "create" "4"
"664" "library" "4"
"665" "coherency" "4"
"666" "due" "4"
"667" "static" "4"
"668" "thisdoes" "4"
"669" "communication" "4"
"670" "condition" "4"
"671" "ever" "4"
"672" "examples" "4"
"673" "programming" "4"
"674" "bank" "4"
"675" "conflicts" "4"
"676" "griddimx" "4"
"677" "words" "4"
"678" "banks" "4"
"679" "appropriate" "4"
"680" "per" "4"
"681" "rscript" "4"
"682" "con" "4"
"683" "filestdin" "4"
"684" "open" "4"
"685" "readlinesconn" "4"
"686" "inputs" "4"
"687" "lnks" "4"
"688" "myidxs" "4"
"689" "barr" "4"
"690" "lnksidx" "4"
"691" "corresponding" "4"
"692" "omsi" "4"
"693" "basic" "4"
"694" "submission" "4"
"695" "made" "4"
"696" "mpiint" "4"
"697" "remove" "4"
"698" "edit" "4"
"699" "really" "4"
